Sequence_Header,Bin_Assignment,Vote_Count,Total_Votes
UniRef100_A0A3B3RPQ2,29,28,49
UniRef100_A0A0P4VYT9,29,20,49
UniRef100_A0A084VVY1,29,17,49
TARA_MED_95_MAG_00520_000000006713.1.3,29,33,49
UniRef100_A0A1J4KIR1,29,23,49
UniRef100_V3ZP67,30,24,49
UniRef100_A0A6J1W3U8,30,20,49
UPI0000DC108B,30,18,49
UniRef100_A0A0F9EA80,30,23,49
UniRef100_A0A914AZW8,29,18,49
25961|Ga0247727_11114821_1|+1|11,29,23,49
UniRef100_A0A7J6YPA5,29,22,49
UniRef100_A0A0N5CK25,30,20,49
UniRef100_A0A8K0NV91,29,17,49
ERR1719494_1202835,29,22,49
ERR1719354_968574,29,23,49
GraSoiStandDraft_10_1057309.scaffolds.fasta_scaffold2251280_1,30,19,49
UniRef100_A0A3B3YAI3,29,23,49
UniRef100_UPI001C3F9800,29,21,49
A9UYJ2,29,19,49
A0A068XLM2,29,15,49
A2FG05,29,24,49
ERR1719272_2732914,30,19,49
MGYP001057110544,29,25,49
Q8WSU4,30,25,49
UniRef100_UPI0008F9B084,29,26,49
ERR550519_4660,30,25,49
A0A1J4KZQ3,29,30,49
UniRef100_UPI001C70B975,30,25,49
UniRef100_UPI002307EA57,29,23,49
UniRef100_W4FKA1,29,25,49
SRR4030042_2644542,30,30,49
UniRef100_A0A669CMC3,29,26,49
MGYP001137528771,30,23,49
UniRef100_A0A6P7G6X4,29,20,49
B4J4Z5,30,21,49
KBSMisStandDraft_5_1062788.scaffolds.fasta_scaffold3713323_1,29,24,49
A0A2C9U7X2,29,23,49
UniRef100_A0A060SX56,30,23,49
UniRef100_UPI001EF8EA99,29,25,49
UniRef100_A7RHA0,30,22,49
UniRef100_A9B4V4,29,26,49
Q54XX5,29,21,49
SRR3972149_2452540,29,22,49
UniRef100_R7TTK0,29,22,49
UniRef100_A0A0N5A9U1,30,19,49
UniRef100_A0A8K1CUB6,30,24,49
UniRef100_A0A8C4R7N8,30,24,49
UniRef100_T1G6L0,29,19,49
GraSoiStandDraft_35_1057300.scaffolds.fasta_scaffold00052_3,30,21,49
UniRef100_UPI001B88A82D,30,21,49
UniRef100_A0A8J4UZM1,29,19,49
UniRef100_UPI001EE0CF29,29,17,49
UniRef100_A0A0N5A830,29,16,49
MGYP001150757241,29,24,49
UniRef100_A0A0V0QK59,30,22,49
ERR1712048_869005,29,23,49
SoimicmetaTmtLAA_FD_contig_31_12196153_length_341_multi_2_in_0_out_0_1,29,28,49
UniRef100_A0A8C6SAW4,29,21,49
Q54U31,30,20,49
UniRef100_A0A1X7TNR9,30,28,49
UniRef100_A0A5S6QCC1,30,22,49
MGYP001090033079,29,24,49
UniRef100_A0A812B6X4,29,22,49
UniRef100_A0A1W0WMS4,30,26,49
UniRef100_L8GIF8,30,20,49
UniRef100_F2U7Y1,30,23,49
UniRef100_G1PY75,29,23,49
GraSoiStandDraft_38_1057308.scaffolds.fasta_scaffold1261967_1,29,23,49
K1RL30,30,15,49
UniRef100_A0A1D6Q4X9,29,21,49
B3XVX5,29,27,49
UniRef100_A0A8J2JUM0,30,22,49
UniRef100_UPI000E6D62EA,30,21,49
UniRef100_A0A0D3CW56,29,28,49
UniRef100_A0A1D1VJF0,29,21,49
UniRef100_UPI0009E5A48C,29,31,49
E3LUA1,29,26,49
UniRef100_A0A7J6YTB7,29,19,49
UniRef100_A0A2C9WGA3,29,25,49
MGYP000508205924,29,21,49
ERR1740128_97570,29,23,49
UniRef100_UPI0018F502E6,29,19,49
A0A0D2X0F5,29,29,49
ERR1740139_2073483,29,25,49
UniRef100_UPI00143D20B1,29,20,49
KBSSwiStaDraftv2_1062776.scaffolds.fasta_scaffold193104_2,29,25,49
UniRef100_A0A9E0Y8W7,30,24,49
