PDB,plddt,seq_count,1cdl_tmscore,1cll_tmscore
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_01/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.55000000000001,13,0.45528,0.63347
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_01/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.04228187919463,21,0.46406,0.62174
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_01/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,65.83604026845637,13,0.41352,0.52357
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_01/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.76946308724833,13,0.57953,0.48391
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_01/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.62624161073826,13,0.4895,0.57514
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,65.58812080536912,13,0.48425,0.49463
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.69738255033558,13,0.5146,0.49996
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.17664429530201,13,0.47522,0.56993
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.50657718120806,13,0.50289,0.4709
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,65.82979865771811,13,0.42798,0.47041
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.44489932885907,13,0.61918,0.48481
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.25644295302014,13,0.45918,0.54504
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.58677852348994,13,0.4998,0.56299
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.90288590604028,13,0.47942,0.6641
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,63.3331543624161,13,0.41015,0.38577
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_011_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.18389261744966,13,0.49971,0.48158
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,64.84127516778524,13,0.38516,0.49941
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.51697986577182,21,0.43177,0.58737
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.37691275167785,13,0.49323,0.51482
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,67.05013422818793,13,0.43671,0.49217
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_02/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.81912751677852,13,0.49029,0.51956
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.35456375838926,13,0.46003,0.5281
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.41697986577182,13,0.49272,0.52271
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,66.76932885906041,13,0.7024,0.48163
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,61.38765100671142,13,0.47997,0.46944
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.95557046979866,13,0.44766,0.73595
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.4478523489933,13,0.49123,0.70164
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.88201342281879,13,0.4724,0.65853
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.06597315436241,13,0.49576,0.47342
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,68.54510067114094,13,0.60941,0.44371
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,67.68973154362415,13,0.56691,0.4496
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_011_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.71644295302012,13,0.46365,0.72104
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.31879194630872,13,0.44341,0.64665
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,64.25597315436241,21,0.47061,0.4596
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,70.52691275167786,13,0.36137,0.61383
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.09892617449665,13,0.42903,0.54392
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_001/shuffle_03/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.12885906040269,13,0.47675,0.57547
