PDB,plddt,inactive_rmsd_global,active_rmsd_global,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_74_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.1533164556962,3.687661,2.8332477,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_32_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.43516455696202,4.1706557,2.0555704,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_22_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.85827848101266,4.58762,2.389707,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_68_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,63.473797468354434,3.4516969,3.4947736,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_78_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.90650632911392,3.7495341,3.262298,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,73.61402531645571,3.6535923,3.229612,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_21_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.45956962025316,4.581203,2.2060213,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_102_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.46354430379746,4.5685043,2.1047585,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_41_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.62346835443037,3.5064225,3.6077163,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_79_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.15364556962025,3.7614498,2.8640485,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_31_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.71493670886076,3.8605175,2.7776425,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_58_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.776,4.399542,2.410153,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_50_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.2346582278481,4.372493,2.407013,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_108_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.84615189873418,3.6634336,2.954492,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_46_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,71.32946835443038,4.1491623,2.488972,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_82_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.22762025316456,3.5766318,3.0564685,17,1
