PDB,plddt,2qke_tmscore,5jyt_tmscore,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_35_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.19285714285715,0.49719,0.81666,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_24_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,84.70923076923077,0.48638,0.75573,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_40_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,82.17626373626375,0.52456,0.8304,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,86.33175824175824,0.49305,0.80264,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_30_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.39604395604395,0.49349,0.79328,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_26_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,89.33362637362637,0.49603,0.80682,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_39_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,81.65714285714284,0.5078,0.80359,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_11_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,84.9443956043956,0.49515,0.77999,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_49_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,83.57670329670329,0.53517,0.77258,12,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_45_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,86.95384615384614,0.49345,0.81971,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,82.08593406593407,0.48742,0.78015,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_36_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.65120879120879,0.49424,0.79125,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_20_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.47197802197802,0.48108,0.77633,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_44_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,85.13967032967032,0.50757,0.80251,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_16_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,86.78417582417583,0.4977,0.79809,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.33890109890108,0.49123,0.79574,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_48_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.37604395604394,0.50361,0.75724,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,84.26868131868132,0.50675,0.80241,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_19_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,88.34395604395606,0.48442,0.75021,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_13_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,67.29351648351648,0.53055,0.65978,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_28_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,87.98835164835164,0.50127,0.7846,11,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_updated/KaiB/run1/m_fold_sampling_voting_5jyt/01_m_fold_sampling/round_1/01_sampling/sampling_38/group_32_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,81.48120879120879,0.49367,0.73938,11,1
